Raw Meter Data,,,
Device ID,Date,Time,Meter Reading KWh
device3000,1/01/2012,12:00:00 AM,7.15
device3000,1/01/2012,12:15:00 AM,14.306
device3000,1/01/2012,12:30:00 AM,21.471
device3000,1/01/2012,12:45:00 AM,28.598
device3000,1/01/2012,1:00:00 AM,35.917
device3000,1/01/2012,1:15:00 AM,42.836
device3000,1/01/2012,1:30:00 AM,49.755
device3000,1/01/2012,1:45:00 AM,56.84
device3000,1/01/2012,2:00:00 AM,63.961
device3000,1/01/2012,2:15:00 AM,71.035
device3000,1/01/2012,2:30:00 AM,78.482
device3000,1/01/2012,2:45:00 AM,85.612
device3000,1/01/2012,3:00:00 AM,92.696
device3000,1/01/2012,3:15:00 AM,99.864
device3000,1/01/2012,3:30:00 AM,107.031
device3000,1/01/2012,3:45:00 AM,114.113
device3000,1/01/2012,4:00:00 AM,121.201
device3000,1/01/2012,4:15:00 AM,128.645
device3000,1/01/2012,4:30:00 AM,135.851
device3000,1/01/2012,4:45:00 AM,142.84
device3000,1/01/2012,5:00:00 AM,149.843
device3000,1/01/2012,5:15:00 AM,156.632
device3000,1/01/2012,5:30:00 AM,163.34
device3000,1/01/2012,5:45:00 AM,170.171
device3000,1/01/2012,6:00:00 AM,177.155
device3000,1/01/2012,6:15:00 AM,184.507
device3000,1/01/2012,6:30:00 AM,191.46
device3000,1/01/2012,6:45:00 AM,198.371
device3000,1/01/2012,7:00:00 AM,205.433
device3000,1/01/2012,7:15:00 AM,212.475
device3000,1/01/2012,7:30:00 AM,219.431
device3000,1/01/2012,7:45:00 AM,226.377
device3000,1/01/2012,8:00:00 AM,233.442
device3000,1/01/2012,8:15:00 AM,240.809
device3000,1/01/2012,8:30:00 AM,247.577
device3000,1/01/2012,8:45:00 AM,254.344
device3000,1/01/2012,9:00:00 AM,261.169
device3000,1/01/2012,9:15:00 AM,268.199
device3000,1/01/2012,9:30:00 AM,275.382
device3000,1/01/2012,9:45:00 AM,282.531
device3000,1/01/2012,10:00:00 AM,289.635
device3000,1/01/2012,10:15:00 AM,296.982
device3000,1/01/2012,10:30:00 AM,303.911
device3000,1/01/2012,10:45:00 AM,310.809
device3000,1/01/2012,11:00:00 AM,317.69
device3000,1/01/2012,11:15:00 AM,324.628
device3000,1/01/2012,11:30:00 AM,331.859
device3000,1/01/2012,11:45:00 AM,339.004
device3000,1/01/2012,12:00:00 PM,346.139
device3000,1/01/2012,12:15:00 PM,353.497
device3000,1/01/2012,12:30:00 PM,360.516
device3000,1/01/2012,12:45:00 PM,367.43
device3000,1/01/2012,1:00:00 PM,374.4
device3000,1/01/2012,1:15:00 PM,381.374
device3000,1/01/2012,1:30:00 PM,388.443
device3000,1/01/2012,1:45:00 PM,395.704
device3000,1/01/2012,2:00:00 PM,402.935
device3000,1/01/2012,2:15:00 PM,410.214
device3000,1/01/2012,2:30:00 PM,417.588
device3000,1/01/2012,2:45:00 PM,424.599
device3000,1/01/2012,3:00:00 PM,431.642
device3000,1/01/2012,3:15:00 PM,438.681
device3000,1/01/2012,3:30:00 PM,445.677
device3000,1/01/2012,3:45:00 PM,452.937
device3000,1/01/2012,4:00:00 PM,460.122
device3000,1/01/2012,4:15:00 PM,467.217
device3000,1/01/2012,4:30:00 PM,475.231
device3000,1/01/2012,4:45:00 PM,482.173
device3000,1/01/2012,5:00:00 PM,489.085
device3000,1/01/2012,5:15:00 PM,496.057
device3000,1/01/2012,5:30:00 PM,503.152
device3000,1/01/2012,5:45:00 PM,510.285
device3000,1/01/2012,6:00:00 PM,517.471
device3000,1/01/2012,6:15:00 PM,524.666
device3000,1/01/2012,6:30:00 PM,531.68
device3000,1/01/2012,6:45:00 PM,538.917
device3000,1/01/2012,7:00:00 PM,545.766
device3000,1/01/2012,7:15:00 PM,552.616
device3000,1/01/2012,7:30:00 PM,559.759
device3000,1/01/2012,7:45:00 PM,566.88
device3000,1/01/2012,8:00:00 PM,574.904
device3000,1/01/2012,8:15:00 PM,582.071
device3000,1/01/2012,8:30:00 PM,589.019
device3000,1/01/2012,8:45:00 PM,596.012
device3000,1/01/2012,9:00:00 PM,603.34
device3000,1/01/2012,9:15:00 PM,610.343
device3000,1/01/2012,9:30:00 PM,617.459
device3000,1/01/2012,9:45:00 PM,624.672
device3000,1/01/2012,10:00:00 PM,631.864
device3000,1/01/2012,10:15:00 PM,639.053
device3000,1/01/2012,10:30:00 PM,646.106
device3000,1/01/2012,10:45:00 PM,653.009
device3000,1/01/2012,11:00:00 PM,660.229
device3000,1/01/2012,11:15:00 PM,667.286
device3000,1/01/2012,11:30:00 PM,674.474
device3000,1/01/2012,11:45:00 PM,681.569
device3000,2/01/2012,12:00:00 AM,688.709
device3000,2/01/2012,12:15:00 AM,695.921
device3000,2/01/2012,12:30:00 AM,703.077
device3000,2/01/2012,12:45:00 AM,710.553
device3000,2/01/2012,1:00:00 AM,717.461
device3000,2/01/2012,1:15:00 AM,724.378
device3000,2/01/2012,1:30:00 AM,731.334
device3000,2/01/2012,1:45:00 AM,738.424
device3000,2/01/2012,2:00:00 AM,745.559
device3000,2/01/2012,2:15:00 AM,753.123
device3000,2/01/2012,2:30:00 AM,760.28
device3000,2/01/2012,2:45:00 AM,767.457
device3000,2/01/2012,3:00:00 AM,774.653
device3000,2/01/2012,3:15:00 AM,781.798
device3000,2/01/2012,3:30:00 AM,788.745
device3000,2/01/2012,3:45:00 AM,795.967
device3000,2/01/2012,4:00:00 AM,802.887
device3000,2/01/2012,4:15:00 AM,809.998
device3000,2/01/2012,4:30:00 AM,817.098
device3000,2/01/2012,4:45:00 AM,828.294
device3000,2/01/2012,5:00:00 AM,845.512
device3000,2/01/2012,5:15:00 AM,858.741
device3000,2/01/2012,5:30:00 AM,870.152
device3000,2/01/2012,5:45:00 AM,882.435
device3000,2/01/2012,6:00:00 AM,893.473
device3000,2/01/2012,6:15:00 AM,905.455
device3000,2/01/2012,6:30:00 AM,919.276
device3000,2/01/2012,6:45:00 AM,933
device3000,2/01/2012,7:00:00 AM,948.795
device3000,2/01/2012,7:15:00 AM,964.623
device3000,2/01/2012,7:30:00 AM,980.491
device3000,2/01/2012,7:45:00 AM,998.006
device3000,2/01/2012,8:00:00 AM,1016.073
device3000,2/01/2012,8:15:00 AM,1033.614
device3000,2/01/2012,8:30:00 AM,1052.575
device3000,2/01/2012,8:45:00 AM,1070.66
device3000,2/01/2012,9:00:00 AM,1090.225
device3000,2/01/2012,9:15:00 AM,1110.221
device3000,2/01/2012,9:30:00 AM,1131.69
device3000,2/01/2012,9:45:00 AM,1152.675
device3000,2/01/2012,10:00:00 AM,1174.566
