Name,Description,Notes,Area,Cost per Hour
"Level PLAZA, Zone  1, North Tower AHAC",,"level:PLAZA, tenant:, zone:1",,35
"Level PLAZA, Zone  2, North Tower AHAC",,"level:PLAZA, tenant:, zone:2",,35
"Level PLAZA, Zone  3, North Tower AHAC",,"level:PLAZA, tenant:, zone:3",,35
"Level PLAZA, Zone  4, North Tower AHAC",,"level:PLAZA, tenant:, zone:4",,35
"Level M1, Zone  1, North Tower AHAC",,"level:M1, tenant:, zone:1",,35
"Level M1, Zone  2, North Tower AHAC",,"level:M1, tenant:, zone:2",,35
"Level M1, Zone  3, North Tower AHAC",,"level:M1, tenant:, zone:3",,35
"Level M1, Zone  4, North Tower AHAC",,"level:M1, tenant:, zone:4",,35
"Grollo Leasure, Level M2, Zone  1, North Tower AHAC",,"level:M2, tenant:Grollo Leasure, zone:1",265,35
"Level M2, Zone  2, North Tower AHAC",,"level:M2, tenant:, zone:2",,35
"Level M2, Zone  3, North Tower AHAC",,"level:M2, tenant:, zone:3",,35
"Level M2, Zone  4, North Tower AHAC",,"level:M2, tenant:, zone:4",,35
"Level 1, Zone  1, North Tower AHAC",,"level:1, tenant:, zone:1",,35
"Level 1, Zone  2, North Tower AHAC",,"level:1, tenant:, zone:2",,35
"Bourse Data, Level 1, Zone  3, North Tower AHAC",Meeting Room  1,"level:1, tenant:Bourse Data, zone:3",,35
"Bourse Data, Level 1, Zone  4, North Tower AHAC",Data Centre,"level:1, tenant:Bourse Data, zone:4",0,35
"LVMH + Taylor Root, Level 2, Zone  1, North Tower AHAC",Call Centre,"level:2, tenant:LVMH + Taylor Root, zone:1",,35
"Level 2, Zone  2, North Tower AHAC",,"level:2, tenant:, zone:2",,35
"Charley Lily, Level 2, Zone  3, North Tower AHAC",Stan's Office,"level:2, tenant:Charley Lily, zone:3",,35
"City Central, Level 2, Zone  4, North Tower AHAC",,"level:2, tenant:City Central, zone:4",,35
"ITG, Level 3, Zone  1, North Tower AHAC",,"level:3, tenant:ITG, zone:1",518,35
"ITG, Level 3, Zone  2, North Tower AHAC",,"level:3, tenant:ITG, zone:2",301,35
"Level 3, Zone  3, North Tower AHAC",,"level:3, tenant:, zone:3",0,35
"Level 3, Zone  4, North Tower AHAC",,"level:3, tenant:, zone:4",0,35
"JLL, Level 4, Zone  1, North Tower AHAC",,"level:4, tenant:JLL, zone:1",205.2,35
"JLL, Level 4, Zone  2, North Tower AHAC",,"level:4, tenant:JLL, zone:2",205.2,35
"St Martins, Level 4, Zone  3, North Tower AHAC",,"level:4, tenant:St Martins, zone:3",205.2,35
"St Martins, Level 4, Zone  4, North Tower AHAC",,"level:4, tenant:St Martins, zone:4",205.2,35
"Australian Drilling, Level 5, Zone  1, North Tower AHAC",,"level:5, tenant:Australian Drilling, zone:1",273.6,35
"Australian Drilling, Level 5, Zone  2, North Tower AHAC",,"level:5, tenant:Australian Drilling, zone:2",273.6,35
"Australian Drilling, Level 5, Zone  3, North Tower AHAC",,"level:5, tenant:Australian Drilling, zone:3",273.6,35
"Level 5, Zone  4, North Tower AHAC",,"level:5, tenant:, zone:4",0,35
"Telstra, Level 6, Zone  1, North Tower AHAC",,"level:6, tenant:Telstra, zone:1",205.2,35
"Telstra, Level 6, Zone  2, North Tower AHAC",,"level:6, tenant:Telstra, zone:2",205.2,35
"Telstra, Level 6, Zone  3, North Tower AHAC",,"level:6, tenant:Telstra, zone:3",205.2,35
"Telstra, Level 6, Zone  4, North Tower AHAC",,"level:6, tenant:Telstra, zone:4",205.2,35
"Randstat, Level 7, Zone  1, North Tower AHAC",,"level:7, tenant:Randstat, zone:1",205.2,35
"Randstat, Level 7, Zone  2, North Tower AHAC",,"level:7, tenant:Randstat, zone:2",205.2,35
"Randstat, Level 7, Zone  3, North Tower AHAC",,"level:7, tenant:Randstat, zone:3",205.2,35
"Randstat, Level 7, Zone  4, North Tower AHAC",,"level:7, tenant:Randstat, zone:4",205.2,35
"Bird Cameron, Level 8, Zone  1, North Tower AHAC",,"level:8, tenant:Bird Cameron, zone:1",205.2,35
"Bird Cameron, Level 8, Zone  2, North Tower AHAC",,"level:8, tenant:Bird Cameron, zone:2",205.2,35
"Bird Cameron, Level 8, Zone  3, North Tower AHAC",,"level:8, tenant:Bird Cameron, zone:3",205.2,35
"Bird Cameron, Level 8, Zone  4, North Tower AHAC",,"level:8, tenant:Bird Cameron, zone:4",205.2,35
"Telstra, Level 9, Zone  1, North Tower AHAC",,"level:9, tenant:Telstra, zone:1",205.2,35
